,team_1,team_2,team_1_rating,team_2_rating,capacity,month,derby,year,city,temprature,precipitation,attendance,occuper
0,1,15,5,20,38419,5,False,1995,16,14,52,38104,99
1,2,14,11,7,40834,5,False,1995,16,14,52,28436,69
2,3,11,16,13,23489,5,False,1995,28,12,23,22769,96
3,4,13,6,4,39414,5,False,1995,31,12,53,40127,101
4,5,16,18,3,35150,5,False,1995,26,12,21,31436,89
5,6,12,12,1,33746,5,False,1995,21,11,19,29921,88
6,7,19,2,8,52305,5,False,1995,18,9,116,36589,69
7,8,17,9,19,30602,5,False,1995,20,11,63,22910,74
8,9,20,17,14,15200,5,False,1995,4,13,16,15172,99
9,10,18,10,15,35345,5,False,1995,16,14,52,23790,67
10,11,19,13,6,37792,5,False,1995,22,10,26,30061,79
11,8,7,9,2,30602,5,False,1995,20,11,63,28280,92
12,1,16,5,3,38419,5,False,1995,16,14,52,38323,99
13,11,7,13,2,37792,4,False,1995,22,7,25,38862,102
14,12,8,1,9,75643,4,False,1995,26,9,27,53926,71
15,13,5,4,18,42749,4,False,1995,13,8,23,39336,92
16,14,1,7,5,31367,4,False,1995,12,9,26,29834,95
17,15,9,20,17,22616,4,False,1995,25,9,27,18795,83
18,16,6,3,12,54074,4,False,1995,31,10,36,40782,75
19,17,10,19,11,18439,4,True,1995,16,11,30,18828,102
20,18,4,15,6,39812,4,False,1995,17,8,31,32724,82
21,19,2,8,10,36284,4,True,1995,16,11,30,32918,90
22,20,3,14,16,25486,4,False,1995,16,11,30,15540,60
23,13,10,4,10,42749,4,False,1995,13,8,23,26768,62
24,14,20,6,14,31367,4,False,1995,12,9,26,24174,77
25,7,9,2,16,52305,4,False,1995,18,7,70,36554,69
26,8,3,9,17,30602,4,False,1995,20,9,38,24629,80
27,18,2,15,11,39812,4,False,1995,17,8,31,25094,63
28,12,11,1,13,75643,4,False,1995,26,9,27,48382,63
29,4,16,8,3,39414,4,True,1995,31,10,36,40120,101
30,1,19,5,7,38419,4,True,1995,16,11,30,38273,99
31,7,13,2,4,52305,4,False,1995,18,7,70,36510,69
