,club,city
0,Arsenal,London
1,Aston,Birmingham
2,Barnsley,Barnsley
3,Birmingham,Birmingham
4,Blackburn,Blackburn
5,Blackpool,Blackpool
6,Bolton,Bolton
7,Bournemouth,Bournemouth
8,Bradford,Bradford
9,Brentford,London
10,Brighton,Brighton
11,Burnley,Burnley
12,Cardiff,Cardiff
13,Charlton,London
14,Chelsea,London
15,Coventry,Coventry
16,Crystal,London
17,Derby,Derby
18,Everton,Liverpool
19,Fulham,London
20,Huddersfield,Huddersfield
21,Hull,Kingston
22,Ipswich,Ipswich
23,Leeds,Leeds
24,Leicester,Leicester
25,Liverpool,Liverpool
26,Manchester,Manchester
27,Manchester,Old
28,Middlesbrough,Middlesbrough
29,Newcastle,Newcastle
30,Norwich,Norwich
31,Nottingham,West
32,Oldham,Oldham
33,Portsmouth,Portsmouth
34,Queens,London
35,Reading,Reading
36,Sheffield,Sheffield
37,Sheffield,Sheffield
38,Southampton,Southampton
39,Stoke,Stoke
40,Sunderland,Sunderland
41,Swansea,Swansea
42,Swindon,Swindon
43,Tottenham,London
44,Watford,Watford
45,West,West
46,West,London
47,Wigan,Wigan
48,Wimbledon,London
49,WolverhamptonWanderers,Wolverhampton
