,stadium,capacity
0,Anfield,"54,074"
1,Arsenal Stadium,"38,419"
2,Ayresome Park,"26,667"
3,Baseball Ground,"18,300"
4,Bet365 Stadium,"30,089"
5,Bloomfield Road,"16,220"
6,Boleyn Ground,"35,345"
7,Boundary Park,"13,559"
8,Bramall Lane,"32,702"
9,Brentford Community Stadium,"17,250"
10,Burnden Park,"22,616"
11,Cardiff City Stadium,"33,280"
12,Carrow Road,"27,359"
13,City Ground,"30,602"
14,City of Manchester Stadium,"55,017"
15,"County Ground, Swindon","14,700"
16,Craven Cottage,"25,700"
17,Dean Court,"11,364"
18,DW Stadium,"25,138"
19,Elland Road,"37,792"
20,Emirates Stadium,"60,704"
21,Ewood Park,"31,367"
22,Falmer Stadium,"30,750"
23,Filbert Street,"22,000"
24,Fratton Park,"20,978"
25,Goodison Park,"39,414"
26,The Hawthorns,"26,445"
27,Highfield Road,"23,489"
28,King Power Stadium,"32,261"
29,Kirklees Stadium,"24,500"
30,Liberty Stadium,"20,937"
31,Loftus Road,"18,439"
32,Olympic Stadium (London),"60,000"
33,Madejski Stadium,"24,161"
34,Maine Road,"35,150"
35,MKM Stadium,"25,400"
36,Molineux Stadium,"32,050"
37,Oakwell,"23,009"
38,Old Trafford,"75,643"
39,Portman Road,"30,311"
40,Pride Park Stadium,"33,597"
41,Riverside Stadium,"33,746"
42,Roker Park,"22,500"
43,St Andrew's (stadium),"30,079"
44,St Mary's Stadium,"32,384"
45,Selhurst Park,"25,486"
46,Stadium of Light,"48,707"
47,Stamford Bridge (stadium),"40,834"
48,Tottenham Hotspur Stadium,"62,214"
49,Turf Moor,"21,944"
50,University of Bolton Stadium,"28,723"
51,The Valley (London),"27,111"
52,Valley Parade,"25,136"
53,Vicarage Road,"22,200"
54,Villa Park,"42,749"
55,Wembley Stadium,"90,000"
56,White Hart Lane,"36,284"
57,Highbury,"38,419"
58,Stamford Bridge,"40,834"
59,St. James' Park,"52,305"
60,The Dell,"15,200"
61,Hillsborough,"39,812"
62,iPro Stadium,"33,597"
63,Macron Stadium,"28,723"
64,The Valley,"27,111"
65,St. Mary's Stadium,"32,384"
66,St. Andrew's Stadium,"30,079"
67,Molineux,"32,050"
68,Etihad Stadium,"53,400"
69,The Friends Provident St Mary's Stadium,"32,384"
70,Sports Direct Arena,"52,305"
71,St Andrews,"30,079"
72,St. Andrew's Trillion Trophy Stadium,"29,409"
73,KCOM Stadium,"25,586"
74,bet365 Stadium,"30,089"
75,Britannia Stadium,"30,089"
76,St James' Park,"52,305"
77,Kiyan Prince Foundation Stadium,"18,439"
78,Goldsands Stadium,"11,329"
79,London Stadium,"80,000"
80,Vitality Stadium,"11,329"
81,John Smith's Stadium,"24,500"
82,Amex Stadium,"30,666"
