,team_1,team_2,team_1_rating,team_2_rating,capacity,stadium,month,derby,current_season,year,city,temprature,precipitation,attendance
0,Chelsea,Blackburn Rovers,6.0,19.0,40834.0,Stamford Bridge,may,0.0,2011/12,2011,London,14.0,52.1,40742.0
1,Everton,Newcastle United,7.0,5.0,39414.0,Goodison Park,may,0.0,2011/12,2011,Liverpool,12.0,53.6,39517.0
2,Manchester City,Queens Park Rangers,1.0,17.0,53400.0,Etihad Stadium,may,0.0,2011/12,2011,Manchester,12.0,21.2,48000.0
3,Norwich City,Aston Villa,12.0,16.0,27359.0,Carrow Road,may,0.0,2011/12,2011,Norwich,12.0,21.5,26803.0
4,Stoke City,Bolton Wanderers,14.0,18.0,30089.0,bet365 Stadium,may,0.0,2011/12,2011,Stoke,12.0,21.2,27789.0
5,Sunderland,Manchester United,13.0,2.0,48707.0,Stadium of Light,may,0.0,2011/12,2011,Sunderland,10.0,23.0,46452.0
6,Swansea City,Liverpool,11.0,8.0,20937.0,Liberty Stadium,may,0.0,2011/12,2011,Swansea,12.0,80.3,20605.0
7,Tottenham Hotspur,Fulham,4.0,9.0,36284.0,White Hart Lane,may,1.0,2011/12,2011,London,14.0,52.1,36256.0
8,West Bromwich Albion,Arsenal,10.0,3.0,26445.0,The Hawthorns,may,0.0,2011/12,2011,West Bromwich,12.0,26.6,26358.0
9,Wigan Athletic,Wolverhampton Wanderers,15.0,20.0,25138.0,DW Stadium,may,0.0,2011/12,2011,Wigan,12.0,53.6,21986.0
10,Liverpool,Chelsea,8.0,6.0,54074.0,Anfield,may,0.0,2011/12,2011,Liverpool,12.0,53.6,40721.0
11,Blackburn Rovers,Wigan Athletic,19.0,15.0,31367.0,Ewood Park,may,0.0,2011/12,2011,Blackburn,12.0,32.0,26144.0
12,Newcastle United,Manchester City,5.0,1.0,52305.0,St James' Park,may,0.0,2011/12,2011,Newcastle,9.0,116.4,52389.0
13,Aston Villa,Tottenham Hotspur,16.0,4.0,42749.0,Villa Park,may,0.0,2011/12,2011,Birmingham,12.0,26.6,36008.0
